station_id,station_name,latitude,longitude,capacity,neighborhood,city_zone,install_date,status
S1,Station_1,999.0,78.412426,-5,Port Danielview,C,2003-04-25,inactive
S2,Station_2,17.327511,78.624944,35,New Chrisview,B,2018-06-18,active
S3,Station_3,17.320487,78.685605,37,West Gregoryhaven,C,2011-06-30,active
S4,Station_4,17.486143,78.589055,5,Sarahchester,C,2023-07-18,active
S5,Station_5,17.573119,78.451844,27,Michaelside,B,2011-11-17,active
S6,Station_6,17.371874,78.357447,45,Danielstad,C,1993-07-07,inactive
S7,Station_7,17.43824,78.382671,7,South Lawrence,A,2008-03-19,inactive
S8,Station_8,17.487938,78.552125,26,Jonesborough,B,2012-03-21,active
S9,Station_9,17.525156,78.388446,9,South Michellechester,B,2019-08-01,inactive
S10,Station_10,17.386466,78.462229,36,New Michaelshire,A,1990-03-22,inactive
S11,Station_11,17.555297,78.458643,39,Joneshaven,C,1972-04-24,inactive
S12,Station_12,17.352487,78.559654,16,West Debbieburgh,A,2000-03-31,inactive
S13,Station_13,17.206376,78.372884,9,Simsborough,C,2013-03-09,inactive
S14,Station_14,17.449064,78.637913,20,North Kristy,B,1971-05-25,inactive
S15,Station_15,17.471813,78.648027,8,Richardland,C,2011-01-01,inactive
S16,Station_16,999.0,78.666638,22,Billychester,A,2019-09-03,active
S17,Station_17,17.576285,78.344505,7,New Maria,A,2025-02-15,inactive
S18,Station_18,17.27562,78.577268,36,New Michaelfort,C,2004-03-04,inactive
S19,Station_19,17.538421,78.502266,29,North Edward,A,1974-09-10,inactive
S20,Station_20,17.348635,78.626154,22,Jayfort,C,1972-11-02,active
S21,Station_21,17.512768,78.391265,-5,Lake Brettstad,B,1983-02-18,active
S22,Station_22,17.293757,78.625337,12,East Kennethborough,A,1989-12-29,inactive
S23,Station_23,17.304204,78.382101,23,East Amanda,B,2018-02-08,active
S24,Station_24,17.264692,78.300733,19,Collierville,C,2005-06-27,inactive
S25,Station_25,17.449314,78.594873,22,Caseside,C,1998-05-30,inactive
S26,Station_26,17.370873,78.661666,38,Johnsonhaven,C,1992-01-21,active
S27,Station_27,17.543462,78.693487,47,East Paulshire,B,2019-04-14,active
S28,Station_28,17.262364,78.356336,47,Markshire,B,1970-08-06,inactive
S29,Station_29,17.300213,78.468173,23,Michelechester,B,1985-12-07,active
S30,Station_30,17.583132,78.401803,39,Shawside,A,2022-09-01,active
S31,Station_31,999.0,78.303383,5,East Heidi,B,1979-10-31,active
S32,Station_32,17.395796,78.565235,43,East Erikamouth,A,1983-06-01,active
S33,Station_33,17.338769,78.691431,32,Robertsonton,C,2005-03-20,inactive
S34,Station_34,17.312272,78.505949,7,East George,C,2007-11-07,active
S35,Station_35,17.382933,78.31699,18,Davilachester,C,2011-11-24,active
S36,Station_36,17.242291,78.443207,49,Lisamouth,A,1997-05-11,inactive
S37,Station_37,17.391372,78.36579,25,East Kathryn,C,1995-10-17,inactive
S38,Station_38,17.554694,78.612426,27,South Teresatown,B,2025-08-19,inactive
S39,Station_39,17.468199,78.520661,46,Wilsonberg,B,2022-08-17,inactive
S40,Station_40,17.209818,78.509173,6,Allisonchester,C,1992-05-02,inactive
S41,Station_41,17.281968,78.402712,-5,Williamsfurt,C,1981-08-02,active
S42,Station_42,17.222845,78.419814,8,North Annette,A,1983-04-02,inactive
S43,Station_43,17.517862,78.461814,17,Port Tracyborough,A,1994-11-03,active
S44,Station_44,17.484521,78.638806,22,New Sherry,A,1984-09-17,active
S45,Station_45,17.218173,78.564726,43,New Tiffany,B,2021-12-25,active
S46,Station_46,999.0,78.554068,42,South Edwinville,B,1986-11-28,inactive
S47,Station_47,17.398234,78.634154,40,New Lindsay,C,2004-04-05,inactive
S48,Station_48,17.274236,78.573463,41,Pattersonchester,C,1980-06-21,inactive
S49,Station_49,17.403391,78.682454,49,Villaview,C,1984-01-17,inactive
S50,Station_50,17.379692,78.581686,10,Port Christopherside,A,1996-02-19,inactive
S51,Station_51,17.463364,78.37354,22,North Brandon,B,1990-12-12,active
S52,Station_52,17.220929,78.674417,50,Westport,B,1977-07-30,active
S53,Station_53,17.32064,78.519255,41,Lake Andrew,B,2023-09-22,active
S54,Station_54,17.505936,78.445919,5,South Mikayla,C,2023-04-24,active
S55,Station_55,17.407166,78.445736,35,Brandyside,A,1981-09-14,active
S56,Station_56,17.396158,78.478456,28,North Nicoleburgh,C,2001-11-22,inactive
